,이름,별점,주소
340,롯데캐슬프라자 개방화장실,,서울 송파구                올림픽로 269                 (우)05510
341,롯데백화점 에비뉴엘월드타워점 개방화장실,,서울 송파구                올림픽로 300                 (우)05551
342,국민연금본부회관 개방화장실,,서울 송파구                올림픽로35다길 13                 (우)05510
343,서원주유소 개방화장실,,서울 송파구                중대로 154                 (우)05825
344,가락공원2 족구장 개방화장실,,서울 송파구                양재대로64길 42                 (우)05715
345,국립경찰병원 개방화장실,1.0,서울 송파구                송이로 123                 (우)05715
346,경찰병원역 개찰구 안 밖 개방화장실,,서울 송파구                중대로 지하 149                 (우)05715
347,현대파크빌상가빌딩 개방화장실,,서울 송파구                중대로 174                 (우)05824
348,잠원역 개방화장실,,서울 서초구                잠원로4길 지하 46                 (우)06522
349,잠원동주민센터 개방화장실,,서울 서초구                나루터로 38                 (우)06523
350,센트럴시티고속터미널 개방화장실,5.0,서울 서초구                신반포로 190                 (우)06545
351,고속터미널역 3번출구 개방화장실,5.0,서울 서초구                신반포로 지하 188                 (우)06545
352,고속터미널역 4번출구 개방화장실,,서울 서초구                신반포로 지하 188                 (우)06545
353,고속터미널역 개방화장실,,서울 서초구                신반포로 지하 188                 (우)06545
354,고속터미널역 1번출구 개방화장실,,서울 서초구                신반포로 지하 188                 (우)06545
355,강남터미널 1구역 지하상가 개방화장실,,서울 서초구                신반포로 지하 200                 (우)06545
356,강남터미널 2구역 지하상가 개방화장실,,서울 서초구                신반포로 지하 200                 (우)06545
357,강남터미널 3구역 지하상가 개방화장실,,서울 서초구                신반포로 지하 200                 (우)06545
358,서초브이샤르망 개방화장실,,서울 서초구                효령로55길 28                 (우)06654
359,대한건축사협회 개방화장실,,서울 서초구                효령로 317                 (우)06643
360,서울남부터미널 개방화장실,5.0,서울 서초구                효령로 292                 (우)06718
361,양재1동주민센터 개방화장실,,서울 서초구                남부순환로 2610                 (우)06737
362,양재역 개방화장실,,서울 서초구                남부순환로 지하 2585                 (우)06735
363,서초보건소 개방화장실,,서울 서초구                남부순환로 2584                 (우)06750
364,도곡1동경로당 개방화장실,,서울 강남구                남부순환로355길 22                 (우)06266
365,SK리더스뷰 개방화장실,,서울 강남구                언주로 201                 (우)06274
366,매봉역 개방화장실,,서울 강남구                남부순환로 지하 2744                 (우)06297
367,독구리경로당 개방화장실,,서울 강남구                남부순환로379길 14                 (우)06274
368,삼성아파트 상가 개방화장실,,서울 강남구                남부순환로379길 14                 (우)06274
369,대청역 개방화장실,,서울 강남구                일원로 지하 2                 (우)06337
370,대청프라자 개방화장실,,서울 강남구                개포로109길 34                 (우)06336
371,대진공원 개방화장실,,서울 강남구                개포로109길 62                 (우)06334
372,대치역 개방화장실,,서울 강남구                남부순환로 지하 2952                 (우)06291
373,윈플러스상가 개방화장실,,서울 강남구                남부순환로 2936                 (우)06291
374,대치풍림빌딩 개방화장실,,서울 강남구                남부순환로 2942                 (우)06291
375,은마종합상가 개방화장실,,서울 강남구                삼성로 212                 (우)06284
376,대치퍼스트빌딩 개방화장실,,서울 강남구                삼성로 155                 (우)06291
377,JS강남웨딩문화원 개방화장실,,서울 서초구 잠원동                27-6                
378,신사역 개방화장실,,서울 강남구                도산대로 지하 102                 (우)06038
379,신사미타워 개방화장실,,서울 강남구                강남대로 616                 (우)06035
380,지에스칼텍스남서울주유소 개방화장실,,서울 서초구                나루터로 83                 (우)06524
381,일원역 개방화장실,,서울 강남구                일원로 115                 (우)06355
382,수서역 분당선 개방화장실,,서울 강남구 수서동                728                
383,수서역 개방화장실,,서울 강남구                광평로 지하 270                 (우)06362
384,사이룩스오피스텔 개방화장실,,서울 강남구                광평로 295                 (우)06349
385,수서현대벤처빌 개방화장실,,서울 강남구                밤고개로1길 10                 (우)06349
386,"가락시장역 개찰구 안,밖 개방화장실",,서울 송파구 가락동                184-23                
387,롯데마트 송파점 개방화장실,,서울 송파구                중대로 80                 (우)05833
388,늘벗공원 개방화장실,5.0,서울 강남구 대치동                501                
389,그랑프리엔 개방화장실,,서울 강남구                남부순환로 2912                 (우)06289
390,도곡역 개방화장실,,서울 강남구                남부순환로 지하 2814                 (우)06293
391,도곡역 분당선 개방화장실,,서울 강남구 대치동                600-6                
392,여천빌딩 개방화장실,,서울 강남구                남부순환로 2909                 (우)06280
393,극동스포츠빌딩 개방화장실,5.0,서울 강남구                압구정로 152                 (우)06030
394,중산빌딩 개방화장실,,서울 강남구                논현로 878                 (우)06022
395,압구정역 개방화장실,,서울 강남구                압구정로 지하 172                 (우)06022
396,새서울석유 새서울주유소 개방화장실,5.0,서울 강남구                압구정로 154                 (우)06030
397,쌍용종합 상가 개방화장실,,서울 강남구                영동대로 210                 (우)06286
398,옥수리버젠상가 개방화장실,,서울 성동구                독서당로 216-1                 (우)04734
399,미타사 개방화장실,,서울 성동구                독서당로40길 21                 (우)04739
400,금호역 개방화장실,,서울 성동구                동호로 지하 104                 (우)04724
401,옥수역 개방화장실,,서울 성동구 옥수동                168-4                
402,한강공원이촌2 개방화장실,,서울 성동구 옥수동                490-6                
403,구파발역 개방화장실,,서울 은평구 진관동                67-26                
404,구파발폭포 개방화장실,,서울 은평구                진관2로 15-30                 (우)03306
405,구파발역환승센터 개방화장실,,서울 은평구                진관2로 15-40                 (우)03306
406,롯데리아 불광점 개방화장실,,서울 은평구                통일로 741                 (우)03396
407,녹번파출소 개방화장실,,서울 은평구                통일로 684                 (우)03371
408,불광제1동주민센터 개방화장실,,서울 은평구                진흥로15길 10                 (우)03368
409,서울병원 개방화장실,,서울 은평구                진흥로 191                 (우)03397
410,보광빌딩 개방화장실,,서울 은평구                통일로 730                 (우)03368
411,불광역 개방화장실,,서울 은평구                통일로 지하 723-1                 (우)03397
412,대조치안센터 개방화장실,,서울 은평구                통일로 737                 (우)03396
413,한화생명빌딩 개방화장실,,서울 은평구                통일로 742                 (우)03358
414,한국환경정책평가연구원 개방화장실,,서울 은평구                진흥로15길 10                 (우)03368
415,녹번역 개방화장실,,서울 은평구 녹번동                55-19                
416,녹번주유소 개방화장실,,서울 은평구                통일로 600                 (우)03373
417,녹번119안전센터 개방화장실,,서울 은평구                은평로 245                 (우)03382
418,서대문세무서 개방화장실,3.3,서울 서대문구 홍제동                251                
419,홍제파출소 개방화장실,,서울 서대문구                통일로 441-1                 (우)03639
420,홍제1동주민센터 개방화장실,,서울 서대문구                통일로 435-1                 (우)03646
421,창원이엔지 홍제지점 개방화장실,,서울 서대문구                통일로 455                 (우)03636
422,무악재역 개방화장실,,서울 서대문구                통일로 지하 361                 (우)03730
423,독립문주유소 개방화장실,,서울 서대문구                통일로 384                 (우)03633
424,서부수도사업소 개방화장실,,서울 서대문구                통일로26길 41                 (우)03635
425,연서시장 개방화장실,,서울 은평구                통일로 850                 (우)03345
426,맥도날드 연신내점 개방화장실,,서울 은평구                연서로 213                 (우)03331
427,연신내메디컬센타 개방화장실,,서울 은평구                연서로 246                 (우)03350
428,청구성심병원 개방화장실,,서울 은평구                통일로 873                 (우)03330
429,연신내역 개방화장실,,서울 은평구 갈현동                389-7                
430,파레제페빌딩 개방화장실,,서울 은평구                통일로 830                 (우)03350
431,경복궁역 개방화장실,5.0,서울 종로구                사직로 지하 130                 (우)03170
432,통의파출소 1층 개방화장실,,서울 종로구                효자로 9                 (우)03044
433,한국생산성본부 1층 개방화장실,,서울 종로구                새문안로5가길 32                 (우)03170
434,경복궁 곡수지 1층 개방화장실,5.0,서울 종로구                사직로 161                 (우)03045
435,"국립고궁박물관 전시동 2,1,지하1층 개방화장실",,서울 종로구                효자로 12                 (우)03045
436,SK재동주유소 1층 개방화장실,,서울 종로구                율곡로 58                 (우)03147
437,운현궁 개방화장실,,서울 종로구                삼일대로 464                 (우)03131
438,수운회관 개방화장실,,서울 종로구                삼일대로 457                 (우)03147
439,오발탄 개방화장실,,서울 중구                퇴계로 205                 (우)04557
440,SK에너지 퇴계로주유소 개방화장실,,서울 중구                퇴계로 228                 (우)04624
441,필동주유소 1층 개방화장실,,서울 중구                퇴계로 196                 (우)04625
442,충무로역 개방화장실,5.0,서울 중구 필동2가                16-2                
443,남산골한옥마을 정문 개방화장실,,서울 중구                퇴계로34길 28                 (우)04626
444,충무파출소 남녀 개방화장실,,서울 중구                퇴계로 178                 (우)04627
445,남산골한옥마을 중앙 개방화장실,,서울 중구                퇴계로34길 28                 (우)04626
446,충무로 119안전센터 개방화장실,,서울 중구                충무로 11                2층 (우)04554
447,동대입구역 개방화장실,,서울 중구                동호로 지하 256                 (우)04617
448,장충단공원 개방화장실,,서울 중구                동호로 257-10                 (우)04620
449,통일주유소 1층 개방화장실,,서울 중구                동호로 296                 (우)04617
450,장충체육관 개방화장실,,서울 중구                동호로 241                 (우)04605
451,청구어린이공원 1층 개방화장실,,서울 중구 신당동                842-1                
452,문화공영주차장 개방화장실,,서울 중구                동호로12길 29                 (우)04607
453,중구구립가온도서관 개방화장실,,서울 중구                동호로14길 18                 (우)04607
454,다산동공영주차장 개방화장실,,서울 중구                동호로15길 60                 (우)04604
455,약수역 개방화장실,,서울 중구                다산로 지하 122                 (우)04597
456,장원주유소 1층 개방화장실,,서울 중구                동호로 203                 (우)04598
457,"약수지구대 남,녀 1층 개방화장실",,서울 중구                동호로5길 15                 (우)04596
458,약수노인종합복지관,5.0,서울 중구                다산로6길 11                 (우)04597
459,독립문역 개방화장실,,서울 종로구 무악동                11-11                
460,주차장 독립공원 개방화장실,,서울 서대문구                통일로 251                 (우)03732
461,이진아기념도서관 개방화장실,,서울 서대문구                독립문공원길 80                 (우)03732
462,구관리동-독립공원 개방화장실,,서울 서대문구                통일로 251                 (우)03732
463,오금역 3호선 개방화장실,,서울 송파구 오금동                34-2                
464,송파우체국 개방화장실,,서울 송파구                오금로 323                 (우)05661
465,송파경찰서 개방화장실,1.0,서울 송파구                중대로 221                 (우)05701
466,오금공원2 테니스장 개방화장실,,서울 송파구 오금동                51                
467,오금역 5호선 개방화장실,,서울 송파구 가락동                2-11                
468,가락빌딩 개방화장실,,서울 송파구                오금로 310                 (우)05701
469,KFC대학로점 개방화장실,,서울 종로구                대학로 120                 (우)03086
470,대학로예술극장 개방화장실,,서울 종로구                대학로10길 17                 (우)03086
471,"마로니에공원 1층,B1층 개방화장실",3.0,서울 종로구                대학로 104                 (우)03087
472,연건119안전센터 1층 개방화장실,,서울 종로구                대학로 91                 (우)03082
473,"동덕대학교공연예술센터 지상1층, 지하1층 개방화장실",,서울 종로구                동숭길 126                 (우)03084
474,남태령쉼터 정각사 입구 개방화장실,,서울 서초구                과천대로 786                 (우)06761
475,대농석유 남태령주유소 개방화장실,,서울 서초구                과천대로 838                 (우)06761
476,동작역 북쪽 개방화장실,,서울 동작구                현충로 지하 220                 (우)06984
477,동작주차공원 개방화장실,,서울 동작구                현충로 213                 (우)06905
478,동작역 남쪽 개방화장실,,서울 동작구                현충로 213                 (우)06905
479,이촌역 개방화장실,,서울 용산구 용산동5가                17-27                
480,청소년수련원 샤워실 개방화장실,,서울 용산구                이촌로71길 24                 (우)04422
481,이촌역 경의중앙선 개방화장실,,서울 용산구 용산동5가                17-98                
482,이촌1동주민센터 개방화장실,,서울 용산구                이촌로71길 24                 (우)04422
483,청소년수련원 지하1층 개방화장실,,서울 용산구                이촌로71길 24                 (우)04422
484,청소년수련원 2층 개방화장실,,서울 용산구                이촌로71길 24                 (우)04422
485,청소년수련원 지하2층 개방화장실,,서울 용산구                이촌로71길 24                 (우)04422
486,신용산역 개방화장실,5.0,서울 용산구 한강로2가                412                
487,철길담장옆 개방화장실,,서울 용산구                한강대로39길 42                 (우)04376
488,용산우체국 개방화장실,,서울 용산구                한강대로 118                 (우)04386
489,용산역 개방화장실,,서울 용산구                한강대로23길 55                 (우)04377
490,한강로동 주민센터 개방화장실,,서울 용산구                한강대로38길 28                 (우)04386
491,롯데리아 숙대점 개방화장실,,서울 용산구                한강대로81길 4                 (우)04321
492,갈월종합사회복지관 개방화장실,,서울 용산구                두텁바위로 25                 (우)04335
493,남영동주민센터 개방화장실,,서울 용산구                두텁바위로 25                 (우)04335
494,남대문파출소 개방화장실,,서울 중구                남대문시장4길 28-16                 (우)04528
495,본동상가 개방화장실,,서울 중구                남대문시장길 16-4                 (우)04528
496,남대문시장 1층 개방화장실,,서울 중구                소월로 3                 (우)04528
497,숭례문수입상가 개방화장실,,서울 중구                소월로 3                 (우)04528
498,회현파출소 개방화장실,,서울 중구                퇴계로6길 3-15                 (우)04634
499,부르뎅아동복 개방화장실,3.0,서울 중구                남대문시장8길 2                 (우)04529
500,뽀뽀치킨 개방화장실,,서울 중구                퇴계로 68-1                 (우)04634
501,삼익패션타운 개방화장실,,서울 중구                남대문시장8길 7                 (우)04529
502,SK리더스뷰남산 개방화장실,,서울 중구                퇴계로 72                 (우)04632
503,맥도날드 삼선점 개방화장실,,서울 성북구                동소문로 13                 (우)02833
504,한성대역 개방화장실,,서울 성북구 삼선동1가                1-3                
505,삼선주유소 개방화장실,,서울 성북구                창경궁로 324                 (우)02866
506,남산동공영주차장 개방화장실,,서울 중구                퇴계로20길 24                 (우)04631
507,명동역 개방화장실,1.0,서울 중구                퇴계로 지하 124                 (우)04629
508,남산예장 주차장 개방화장실,,서울 중구                퇴계로26길 36                 (우)04628
509,길음1동분소 개방화장실,,서울 성북구                길음로 6                 (우)02725
510,햇빛병원 개방화장실,,서울 강북구                도봉로 74                 (우)01215
511,와이스퀘어 개방화장실,,서울 강북구                도봉로 52                 (우)01215
512,숭인시장 개방화장실,,서울 강북구                도봉로 45                 (우)01211
513,미아사거리역 개방화장실,,서울 강북구                도봉로 지하 50                 (우)01215
514,롯데백화점 개방화장실,,서울 강북구                도봉로 62                 (우)01215
515,현대오일뱅크 직영 세한셀프주유소 개방화장실,,서울 강북구 미아동                62-7                
516,수유시장 개방화장실,,서울 강북구                도봉로67길 18                 (우)01117
517,수유프라자 개방화장실,,서울 강북구                도봉로 261                 (우)01114
518,한빛어린이공원 개방화장실,,서울 강북구 미아동                222-20                
519,수유마을시장 공영주차장 개방화장실,,서울 강북구                도봉로69길 29                 (우)01117
520,수유중앙시장 개방화장실,,서울 강북구                노해로17길 21                 (우)01076
521,수유역 자전거주차장 개방화장실,,서울 강북구                도봉로85길 10                 (우)01073
522,수유역 개방화장실,,서울 강북구                도봉로 지하 338                 (우)01062
523,강북구청 내부 개방화장실,,서울 강북구                도봉로89길 13                 (우)01071
524,강북구청 외부 개방화장실,,서울 강북구                도봉로89길 13                 (우)01071
525,쌍문역 개방화장실,,서울 도봉구                도봉로 지하 486-1                 (우)01454
526,노원역 개방화장실,,서울 노원구                상계로 69-1                 (우)01693
527,동익빌딩 개방화장실,1.0,서울 노원구                상계로 59                 (우)01694
528,디와이홀딩스 개방화장실,,서울 노원구                동일로 1419                 (우)01689
529,노원역 개방화장실,2.0,서울 노원구                동일로 지하 1409                 (우)01689
530,상계역전종합상가B 개방화장실,,서울 노원구                한글비석로 396                 (우)01663
531,당고개역 개방화장실,,서울 노원구                상계로 305                 (우)01634
532,동막골 개방화장실,,서울 노원구 상계동                114                
533,당고개공원 개방화장실,,서울 노원구 상계동                114                
534,성북구 보건소 보건지소 개방화장실,,서울 성북구                아리랑로3길 8                 (우)02830
535,성신여대입구역 개방화장실,1.0,서울 성북구                동소문로 지하 102                 (우)02845
536,롯데리아 성신여대점 개방화장실,,서울 성북구                동소문로 117                 (우)02829
537,서울보훈지청 개방화장실,,서울 용산구                이태원로 6                 (우)04382
538,한마음공원 개방화장실,,서울 용산구                한강대로 167                 (우)04375
539,삼각지역 개방화장실,,서울 용산구                한강대로 180                 (우)04382
540,용산역파출소 개방화장실,,서울 용산구                한강대로 198-2                 (우)04353
541,용산소방서 개방화장실,,서울 용산구                한강대로 167                 (우)04375
542,힐탑오피스텔 개방화장실,,서울 강동구                천호대로 1073                 (우)05340
543,오석빌딩 개방화장실,,서울 강동구                천호대로 1116                 (우)05373
544,강동역 개방화장실,,서울 강동구 성내동                160-52                
545,웰빙메디컬센터 개방화장실,,서울 강동구                천호대로 1128                 (우)05373
546,풍납공원 개방화장실,,서울 송파구 풍납동                74                
547,천호역 개방화장실,,서울 송파구                천호대로 996-2                 (우)05511
548,브라운스톤천호 개방화장실,5.0,서울 강동구                천호대로 1006                 (우)05378
549,온달공원 개방화장실,,서울 광진구                아차산로73길 15                 (우)04968
550,삼호주유소 개방화장실,,서울 광진구                천호대로 809                 (우)04968
551,광장동 주민센터 개방화장실,,서울 광진구                광장로 52                 (우)04968
552,광나루역 개방화장실,,서울 광진구                아차산로 지하 571                 (우)04983
553,성동노인종합복지관 개방화장실,,서울 성동구                마조로 77                 (우)04759
554,마장역 개방화장실,,서울 성동구                마장로 296                 (우)04758
555,마장동 주민센터 개방화장실,,서울 성동구                마장로42길 11                 (우)04757
556,현대오일뱅크 성동셀프주유소 개방화장실,,서울 성동구                마장로 311                 (우)04756
557,능동주유소 개방화장실,,서울 광진구                천호대로 584                 (우)04986
558,군자감자탕 개방화장실,,서울 광진구                군자로 183                 (우)04996
559,G타워 개방화장실,,서울 광진구                천호대로 549                 (우)04919
560,군자역 개방화장실,,서울 광진구                천호대로 지하 550                 (우)04997
561,능동공영주차장 개방화장실,,서울 광진구                천호대로112길 56                 (우)04989
562,한주빌딩 대봉갈비 개방화장실,,서울 광진구                능동로36길 32                 (우)04985
563,신의주부대찌개 개방화장실,,서울 광진구                천호대로112길 13                 (우)04986
564,광명빌딩 개방화장실,,서울 광진구                천호대로 592                 (우)04986
565,맑은수병원 개방화장실,,서울 동대문구                천호대로83길 44                 (우)02636
566,장안빌딩 개방화장실,,서울 동대문구                장한로 6                 (우)02645
567,삼성생명 장안동빌딩 개방화장실,,서울 동대문구                천호대로 401                 (우)02633
568,장한평역 개방화장실,,서울 동대문구 장안동                416-6                
569,용헌빌딩 개방화장실,,서울 동대문구                천호대로 393                 (우)02633
570,서울특별시 새마을회관 개방화장실,,서울 동대문구                천호대로 389                 (우)02633
571,순복음성동교회 개방화장실,,서울 성동구                천호대로 316                1층 (우)04805
572,롯데리아 답십리점 개방화장실,,서울 성동구                천호대로 308                 (우)04804
573,동부시장 개방화장실,,서울 동대문구                천호대로 281                 (우)02604
574,클래식타워 개방화장실,,서울 동대문구                천호대로 307                 (우)02604
575,답십리역 개방화장실,,서울 성동구                천호대로 지하 300                 (우)04804
576,동창주유소 개방화장실,,서울 성동구                천호대로 324                 (우)04805
577,장안빌딩 개방화장실,,서울 성동구                천호대로 320                 (우)04805
578,금관빌딩 개방화장실,,서울 성동구                천호대로 328                 (우)04805
579,성동구립 용답도서관 개방화장실,,서울 성동구                용답중앙3길 10                 (우)04804
580,구의2동주택가 주차장 개방화장실,,서울 광진구                자양로 307                 (우)04955
581,어린이대공원후문 개방화장실,,서울 광진구                능동로 216                 (우)04991
582,굽은다리역 개방화장실,,서울 강동구                양재대로 지하 1572                 (우)05296
583,강동구민회관 개방화장실,,서울 강동구                상암로 168                 (우)05314
584,올림픽공원역 개방화장실,,서울 송파구                양재대로 1222                 (우)05648
585,올림픽공원-만남의광장 A2동 개방화장실,5.0,서울 송파구                올림픽로 424                 (우)05540
586,올림픽프라자상가 개방화장실,,서울 송파구                양재대로 1222                 (우)05648
587,고덕역 개방화장실,,서울 강동구                고덕로 지하 253                 (우)05233
588,명일파출소 개방화장실,,서울 강동구                동남로 895                 (우)05269
589,고덕1동주민센터 개방화장실,,서울 강동구                양재대로156길 123                 (우)05231
590,명일파출소 개방화장실,,서울 강동구                동남로 895                 (우)05269
591,고덕역 개방화장실,,서울 강동구                고덕로 지하 253                 (우)05233
592,온조대왕체육관 개방화장실,,서울 강동구                고덕로 285                 (우)05225
593,둔촌역재래시장 개방화장실,,서울 강동구                양재대로91길 16                 (우)05404
594,둔촌동역 개방화장실,,서울 강동구                양재대로 1371                 (우)05404
595,방이역 개찰구 밖 개방화장실,,서울 송파구                양재대로 지하 1127                 (우)05647
596,오금공원1관리동 개방화장실,,서울 송파구                오금로 363                 (우)05725
597,송파도서관 개방화장실,,서울 송파구                동남로 263                 (우)05725
598,서울곰두리체육센터 개방화장실,,서울 송파구                동남로 271                 (우)05725
599,거마도서관 정보센터 개방화장실,,서울 송파구                거마로2길 19                 (우)05768
600,거여역 개찰구 밖 개방화장실,,서울 송파구                오금로 지하 499                 (우)05744
601,인성복지관 개방화장실,,서울 송파구                마천로61길 26                 (우)05763
602,거여119안전센터 개방화장실,,서울 송파구                마천로 329                 (우)05759
603,마천역 개찰구 밖 개방화장실,,서울 송파구                마천로57길 지하 7                 (우)05758
604,강일역 개방화장실,,서울 강동구                고덕로 지하 456                 (우)05286
605,행당역 개방화장실,5.0,서울 성동구 행당동                317-5                
606,행당대림노변상가 개방화장실,,서울 성동구                행당로 75                 (우)04713
607,행당2동 주민센터 개방화장실,,서울 성동구                행당로9길 9                 (우)04713
608,개울건강도서관 개방화장실,,서울 양천구                중앙로52길 56                 (우)07944
609,신정종합사회복지관 개방화장실,,서울 양천구                신정중앙로 36                 (우)07940
610,청구역 개방화장실,,서울 중구                청구로 지하 77                 (우)04608
611,약수주유소 1층 개방화장실,,서울 중구                다산로 173                 (우)04608
612,새싹마을마당 개방화장실,,서울 중구                동호로12길 97                 (우)04608
613,신당동주민센터 개방화장실,,서울 중구 신당동                300-6                
614,방화역 개방화장실,,서울 강서구 방화동                830-1                
615,방화역무인자동 개방화장실,,서울 강서구 방화동                829-15                
616,길꽃어린이도서관 개방화장실,,서울 강서구                금낭화로24길 5                 (우)07511
617,방화제3동주민센터 개방화장실,,서울 강서구                금낭화로24길 5                 (우)07511
618,스카이주유소 개방화장실,,서울 강서구                개화동로 457                 (우)07601
619,벽산에어트리움 개방화장실,,서울 강서구                양천로 28                 (우)07601
620,한국맥도널드 송정역점 개방화장실,,서울 강서구                공항대로 21                 (우)07619
621,공항지구대 개방화장실,,서울 강서구                방화동로 5                 (우)07620
622,송정역 개방화장실,,서울 강서구                공항대로 지하 33                 (우)07619
623,방화제1 개방화장실,,서울 강서구 방화동                620-191                
624,공항시장역 9호선 개방화장실,,서울 강서구                방화동로 지하 30                 (우)07619
625,마곡홍보관 개방화장실,,서울 강서구                공항대로 169                 (우)07800
626,마곡역 개방화장실,,서울 강서구                공항대로 지하 163                 (우)07800
627,우장산주유소 개방화장실,,서울 강서구                강서로 292                 (우)07680
628,송화시장진흥협동조합 개방화장실,,서울 강서구                강서로45나길 16                 (우)07639
629,우장산역 개방화장실,,서울 강서구                강서로 지하 262                 (우)07691
630,터보빌딩 개방화장실,1.0,서울 강서구                강서로 173                 (우)07714
631,현대주유소 개방화장실,,서울 강서구                강서로 154                 (우)07727
632,화곡역 개방화장실,,서울 강서구                화곡로 지하 168                 (우)07715
633,화곡현대주유소 개방화장실,,서울 강서구                강서로 151                 (우)07715
634,까치산역 개방화장실,,서울 강서구                강서로 지하 54                 (우)07757
635,화곡제8동 주민센터 개방화장실,,서울 강서구                곰달래로25길 45                 (우)07757
636,대흥에너지산업 개방화장실,,서울 강서구                강서로 25                 (우)07778
637,금호산 개방화장실,,서울 성동구 금호동2가                산 1                
638,군부대앞금호정 개방화장실,,서울 성동구                금호로 173                 (우)04722
639,응봉공원 관리동 개방화장실,,서울 성동구                금호로 172-1                 (우)04721
640,신금호역 개방화장실,,서울 성동구                금호로 지하 154                 (우)04727
641,응봉공원 남측 개방화장실,,서울 성동구 금호동1가                101                
642,신세계오피스텔 개방화장실,,서울 성동구                행당로 6                 (우)04727
643,응봉근린공원 1 동산초교 위 개방화장실,,서울 중구 신당동                333-771                
644,금호1가동주민센터 개방화장실,,서울 성동구                행당로 15                 (우)04721
645,열린금호교육문화관 개방화장실,,서울 성동구                무수막길 69                 (우)04726
646,목동역 개방화장실,,서울 양천구                오목로 지하 245                 (우)07993
647,양평역 개방화장실,2.0,서울 영등포구 양평동2가                33-1                
648,우리은행양평빌딩 개방화장실,,서울 영등포구                영등포로 21                 (우)07275
649,양평동2가-1 개방화장실,,서울 영등포구                선유서로25길 9-2                 (우)07275
650,오목교역 개방화장실,,서울 양천구                오목로 지하 342                 (우)08006
651,무중력지대 양천 개방화장실,,서울 양천구                오목로 359                 (우)07999
652,종로소방서 세종로119안전센터 1층 개방화장실,5.0,서울 종로구                종로1길 28                 (우)03153
653,세종로공영주차장 개방화장실,5.0,서울 종로구                세종대로 지하 189                 (우)03172
654,대한민국역사박물관1층 개방화장실,,서울 종로구                세종대로 198                 (우)03141
655,광화문역 개방화장실,,서울 종로구                세종대로 지하 172                 (우)03154
656,청진파출소 1층 개방화장실,,서울 종로구                삼봉로 33                 (우)03153
657,변호사회관 개방화장실,,서울 종로구                새문안로5길 13                 (우)03182
658,세종문화회관 충무공이야기 지하2층 개방화장실,,서울 종로구                세종대로 175                 (우)03172
659,kt광화문 1층 개방화장실,,서울 종로구                세종대로 178                 (우)03154
660,광화문 해치마당 1층 개방화장실,,서울 종로구                세종대로 175                 (우)03172
661,광화문시민열린마당 개방화장실,5.0,서울 종로구 세종로                76-14                
662,현대해상빌딩 개방화장실,,서울 종로구                세종대로 163                 (우)03183
663,세종문화회관 사무동 1층2층 로비 개방화장실,,서울 종로구                세종대로 175                 (우)03172
664,종로구청 본관1층 개방화장실,,서울 종로구                종로1길 36                 (우)03152
665,세종문화회관 예술동가동 예인홀 로비 1층 개방화장실,5.0,서울 종로구                세종대로 175                 (우)03172
666,세종문화회관 광화문아띠 지하1층 북측 개방화장실,,서울 종로구                세종대로 175                 (우)03172
667,세종문화회관 광화문아띠 지하1층 남측 개방화장실,,서울 종로구                세종대로 175                 (우)03172
668,마포파크펠리스2 개방화장실,5.0,서울 마포구                마포대로 143                 (우)04143
669,아현동 주민센터 개방화장실,,서울 마포구                마포대로7길 18                 (우)04142
670,풍림vip텔 개방화장실,,서울 마포구                마포대로 127                 (우)04144
671,제일빌딩 개방화장실,,서울 마포구                만리재로 15                 (우)04214
672,공덕역 개방화장실,,서울 마포구                마포대로 지하 100                 (우)04213
673,공덕역 경의선 개방화장실,,서울 마포구                마포대로 92                 (우)04168
674,마스터즈타워 개방화장실,,서울 마포구                독막로 331                 (우)04156
675,대우메트로디오빌 개방화장실,,서울 마포구                백범로 199                 (우)04195
