,이름,별점,주소
676,풍림vip텔 개방화장실,,서울 마포구                마포대로 127                 (우)04144
677,서대문역 개방화장실,,서울 서대문구 충정로2가                138                
678,충정빌딩 개방화장실,,서울 서대문구                통일로 135                 (우)03735
679,서대문경찰서 개방화장실,,서울 서대문구                통일로 113                 (우)03738
680,충정로우체국 개방화장실,,서울 서대문구                통일로 127                 (우)03735
681,강북삼성병원 신관1층 개방화장실,,서울 종로구                새문안로 29                 (우)03181
682,서울적십자병원 본관1층 개방화장실,,서울 종로구                새문안로 9                 (우)03181
683,9호선국회의사당역 내부 개방화장실,,서울 영등포구                국회대로 지하 758                 (우)07236
684,현대오일뱅크 직영여의도현대주유소 개방화장실,,서울 영등포구                국회대로 794                 (우)07238
685,9호선국회의사당역 외부 개방화장실,,서울 영등포구                국회대로 지하 758                 (우)07236
686,여의도우체국 개방화장실,,서울 영등포구                여의나루로 60                 (우)07328
687,영등포침례교회 개방화장실,,서울 영등포구                영신로44길 22                 (우)07251
688,영등포시장역 개방화장실,,서울 영등포구                양산로 지하 200                 (우)07250
689,영신상가 개방화장실,,서울 영등포구                영등포로 225                 (우)07250
690,영등포시장 개방화장실,,서울 영등포구                영등포로 지하 221                 (우)07250
691,도화소어린이공원 개방화장실,5.0,서울 마포구                토정로37길 22                 (우)04167
692,마포유수지 개방화장실,,서울 마포구                마포대로1길 9                 (우)04164
693,용강이동 개방화장실,,서울 마포구                마포대로1길 9                 (우)04164
694,양촌리 개방화장실,,서울 마포구                토정로 304                 (우)04165
695,성지빌딩 개방화장실,,서울 마포구                큰우물로 75                 (우)04158
696,복사꽃공원 개방화장실,,서울 마포구 도화동                533                
697,마포역 개방화장실,,서울 마포구                마포대로 33                 (우)04167
698,진도빌딩 개방화장실,,서울 마포구                마포대로 44                 (우)04174
699,염리119안전센터 개방화장실,,서울 마포구                토정로37길 27                 (우)04155
700,버티고개역 개방화장실,,서울 중구                다산로 지하 38                 (우)04595
701,버티공영주차장 개방화장실,,서울 중구                동호로17길 270                 (우)04601
702,안암동 개방화장실,5.0,서울 성북구                고려대로8길 7-2                 (우)02853
703,보문역 개방화장실,,서울 성북구                보문로 지하 116                 (우)02851
704,성북주유소 개방화장실,,서울 성북구                보문로 142                 (우)02851
705,동일주유소 개방화장실,,서울 성북구                보문로 85                 (우)02872
706,노동사목빌딩 개방화장실,,서울 성북구                보문로 95                 (우)02872
707,안암동주민센터 개방화장실,,서울 성북구                고려대로 16                 (우)02853
708,광덕주유소 화장실,,서울 성북구 보문동5가                145-1                
709,숭인1동주민센터 1층 개방화장실,,서울 종로구                지봉로 86                 (우)03108
710,창신3동주민센터 2.3층 개방화장실,,서울 종로구                지봉로 87                 (우)03095
711,지봉골어린이공원 1층 개방화장실,,서울 종로구                지봉로13길 14                 (우)03094
712,창신역 개방화장실,,서울 종로구 창신동                20-8                
713,숭인2지역 개방화장실,,서울 종로구 숭인동                56-136                
714,고려대학교안암병원 장례식장 개방화장실,,서울 성북구                고려대로 73                 (우)02841
715,신방주유소 개방화장실,,서울 성북구 안암동5가                82-1                
716,우신향병원 구관동 개방화장실,,서울 성북구                안암로 99                 (우)02856
717,안암역 개방화장실,,서울 성북구                고려대로 지하 89                 (우)02842
718,중랑천 제방 묵동교 개방화장실,,서울 중랑구 묵동                265-3                
719,화랑대역 개방화장실,,서울 노원구                동일로 지하 992-1                 (우)01849
720,노원주유소 개방화장실,,서울 노원구                동일로 1008                 (우)01848
721,태릉입구역 개방화장실,,서울 노원구                동일로 998-2                 (우)01849
722,성북구보건소 개방화장실,,서울 성북구                화랑로 63                 (우)02751
723,종암마을마당 개방화장실,,서울 성북구                종암로30길 114                 (우)02799
724,월곡역 개방화장실,,서울 성북구                월곡로 지하 107                 (우)02751
725,월곡꿈그림도서관 개방화장실,,서울 성북구                화랑로13길 17                 (우)02748
726,성북펜싱체육관 개방화장실,,서울 성북구                종암로24가길 109                 (우)02798
727,정평빌딩 화장실,,서울 성북구                화랑로 103                 (우)02752
728,화랑주유소 개방화장실,,서울 성북구 상월곡동                23-112                
729,석관동 우체국 개방화장실,,서울 성북구                화랑로 203                 (우)02773
730,상월곡역 개방화장실,,서울 성북구                화랑로 지하 157                 (우)02773
731,성북정보도서관 개방화장실,,서울 성북구                화랑로18자길 13                 (우)02791
732,상월곡실버복지센터 개방화장실,,서울 성북구                화랑로18길 6                 (우)02793
733,신용 구도일주유소 화랑로주유소 화장실,,서울 성북구                화랑로 174                 (우)02791
734,돌곶이역 개방화장실,,서울 성북구 석관동                349-8                
735,온누리병원 개방화장실,,서울 성북구                화랑로 271                 (우)02775
736,장위뉴타워 개방화장실,,서울 성북구                화랑로 248                 (우)02787
737,장위종합사회복지관 개방화장실,,서울 성북구                돌곶이로22길 47                 (우)02783
738,화랑대주유소 개방화장실,,서울 노원구                화랑로 483                 (우)01803
739,공릉119안전센터 개방화장실,,서울 노원구                화랑로 482                 (우)01803
740,봉화산역 개방화장실,,서울 중랑구                신내로 지하 232                 (우)02052
741,금강리빙스텔 개방화장실,,서울 중랑구                신내로 211                 (우)02024
742,봉화산역 공영주차장 개방화장실,,서울 중랑구                신내로 208                 (우)02052
743,고려대역 개방화장실,,서울 성북구                종암로 지하 1                 (우)02841
744,현대오일뱅크직영 고대셀프주유소 개방화장실,,서울 성북구                종암로 12                 (우)02796
745,이태원역 개방화장실,,서울 용산구                이태원로 지하 177                 (우)04350
746,이태원소방서 개방화장실,,서울 용산구                이태원로 200                 (우)04405
747,해밀톤호텔 개방화장실,1.0,서울 용산구                이태원로 179                 (우)04350
748,이태원지구대 개방화장실,,서울 용산구                이태원로 184                 (우)04406
749,이태원1동주민센터 개방화장실,,서울 용산구                보광로 104-6                 (우)04406
750,마포세무서 개방화장실,,서울 마포구                독막로 234                 (우)04090
751,영동석유 개방화장실,,서울 용산구                백범로 275                 (우)04318
752,효창공원역 6호선 개방화장실,,서울 용산구                백범로 지하 287                 (우)04318
753,효창동본부 개방화장실,,서울 용산구                효창원로69가길 2                 (우)04318
754,효창공원앞역 경의선 개방화장실,,서울 용산구 용문동                5-133                
755,이태원1 개방화장실,,서울 용산구 이태원동                34-114                
756,녹사평역 개방화장실,,서울 용산구                녹사평대로 지하 195                 (우)04353
757,코끼리주유소 개방화장실,,서울 은평구                서오릉로 41                 (우)03459
758,경우회관 개방화장실,,서울 은평구                응암로 357                 (우)03458
759,새록어린이공원 개방화장실,,서울 은평구                은평로13길 35                 (우)03459
760,역촌역 개방화장실,,서울 은평구 녹번동                153-31                
761,은평평화공원 지하공영주차장 화장실,,서울 은평구 녹번동                153-1                
762,갈현베르빌 개방화장실,,서울 은평구                연서로 149                 (우)03336
763,구산역 개방화장실,,서울 은평구                연서로 지하 137-1                 (우)03412
764,역촌중앙시장 개방화장실,,서울 은평구                연서로17길 18-6                 (우)03336
765,새절역 개방화장실,,서울 은평구                증산로 389                 (우)03442
766,불광천 신응교 개방화장실,,서울 은평구 응암동                610-2                
767,응암3동 주민센터 개방화장실,,서울 은평구                불광천길 410-17                 (우)03457
768,증산주유소 개방화장실,,서울 은평구                증산로 275                 (우)03500
769,북가좌파출소 개방화장실,,서울 서대문구                응암로1길 13                 (우)03679
770,증산역 개방화장실,,서울 은평구                증산로 지하 306                 (우)03499
771,증산센터 개방화장실,,서울 은평구                증산서길 82                 (우)03499
772,증산동주민센터 개방화장실,,서울 은평구                증산서길 89                 (우)03498
773,불광천 개방화장실,,서울 은평구 신사동                24-18                
774,신사종합복지관 개방화장실,,서울 은평구                은평로 38                 (우)03450
775,응암역 개방화장실,,서울 은평구                증산로 지하 477                 (우)03449
776,신사1동주민센터 개방화장실,,서울 은평구                은평로2길 2                 (우)03450
777,애필리움아파트상가 개방화장실,,서울 은평구                불광천길 536                 (우)03453
778,홍제천열린 개방화장실,,서울 마포구 성산동                342                
779,평화-1 연못 개방화장실,,서울 마포구                월드컵로 243-48                 (우)03901
780,"월드컵공원 청사 1,2층 개방화장실",,서울 마포구                월드컵로 243-60                 (우)03901
781,마포구청역 개방화장실,,서울 마포구                월드컵로 지하 190                 (우)03938
782,마포구청역 개방화장실,,서울 마포구                월드컵로 지하 190                 (우)03938
783,홍제천열린 개방화장실,,서울 마포구 성산동                342                
784,평화-1 연못 개방화장실,,서울 마포구                월드컵로 243-48                 (우)03901
785,"월드컵공원 청사 1,2층 개방화장실",,서울 마포구                월드컵로 243-60                 (우)03901
786,마포구청역 개방화장실,,서울 마포구                월드컵로 지하 190                 (우)03938
787,와우 공원 개방화장실,,서울 마포구                독막로19길 20-13                 (우)04066
788,상수역 개방화장실,,서울 마포구                독막로 지하 85                 (우)04049
789,광흥창역 개방화장실,,서울 마포구 창전동                242                
790,신수동주민센터 개방화장실,,서울 마포구                신수로 58                 (우)04088
791,서강동주민센터 개방화장실,,서울 마포구                독막로 165                 (우)04099
792,에스에스주유소 개방화장실,,서울 마포구                서강로 76                 (우)04099
793,타이거주유소 개방화장실,,서울 은평구                수색로 188                 (우)03506
794,디지털미디어시티역 경의선 개방화장실,,서울 은평구                수색로 193                 (우)03504
795,디지털미디어시티역 개방화장실,,서울 은평구                수색로 지하 175                 (우)03504
796,논현빌딩 개방화장실,,서울 서초구                신반포로 339                 (우)06531
797,동화히스토리 개방화장실,1.0,서울 강남구                학동로4길 15                 (우)06110
798,논현역 개방화장실,,서울 강남구                학동로 지하 102                 (우)06110
799,반포역 개방화장실,,서울 서초구                신반포로 지하 241                 (우)06521
800,포탈하이웨이 개방화장실,,서울 서초구                서초대로 94                 (우)06672
801,하나은행 방배사옥 개방화장실,,서울 서초구                방배로 131                 (우)06672
802,동국한방병원 개방화장실,,서울 서초구                방배로 186                 (우)06586
803,서초구보훈회관 개방화장실,,서울 서초구                방배로27길 13                 (우)06572
804,서울사당동우체국 개방화장실,,서울 동작구                동작대로 75                 (우)07013
805,골든시네마 개방화장실,,서울 동작구                동작대로 89                 (우)07013
806,총신대입구역 개방화장실,,서울 동작구                동작대로 지하 117                 (우)07008
807,현대오일뱅크직영현대셀프 사당점 개방화장실,,서울 동작구                동작대로 73                 (우)07013
808,거묵프리미엄상가 개방화장실,,서울 동작구                사당로 196                 (우)07009
809,남성역 개방화장실,,서울 동작구                사당로 지하 218                 (우)07010
810,사당3동주민센터 개방화장실,,서울 동작구                사당로17길 86                 (우)07005
811,사당3치안센터 개방화장실,,서울 동작구                사당로17길 4                 (우)07005
812,사당종합사회복지관 개방화장실,,서울 동작구                사당로14길 20                 (우)07010
813,천왕역 개방화장실,,서울 구로구                오리로 지하 1154                 (우)08342
814,천왕역환승센터 개방화장실,,서울 구로구 오류동                174-11                
815,오류2동주민센터 개방화장실,,서울 구로구                오류로 45                 (우)08342
816,동일석유동주충전소 개방화장실,,서울 동작구                상도로 74                 (우)07041
817,동작노인종합복지관 개방화장실,,서울 동작구                상도로11길 7                 (우)06953
818,신대방역 개방화장실,,서울 동작구                상도로 지하 76                 (우)07041
819,상도119안전센터 개방화장실,,서울 동작구                국사봉1길 17                 (우)07041
820,상도3치안센터 개방화장실,,서울 동작구                상도로 87                 (우)06953
821,상도종합사회복지관 개방화장실,,서울 동작구                상도로39가길 7                 (우)06968
822,상도1동 개방화장실,,서울 동작구 상도1동                633-23                
823,상도역 개방화장실,,서울 동작구                상도로 지하 272                 (우)07032
824,상도지구대 개방화장실,,서울 동작구                장승배기로 73                 (우)06956
825,청화병원 개방화장실,,서울 동작구                장승배기로 108                 (우)06925
826,장승백이역 개방화장실,,서울 동작구                상도로 지하 188                 (우)06963
827,동작교육청 개방화장실,,서울 동작구                장승배기로10가길 35                 (우)06963
828,동작문화복지센터 개방화장실,,서울 동작구                장승배기로10길 42                 (우)06963
829,참새공원 개방화장실,5.0,서울 동작구                여의대방로24길 29                 (우)07055
830,대방주유소 개방화장실,,서울 영등포구                여의대방로 159                 (우)07392
831,경덕주유소 개방화장실,,서울 영등포구                여의대방로23길 2                 (우)07433
832,보라매역 개방화장실,,서울 동작구                상도로 지하 2                 (우)07055
833,신길6동공영 개방화장실,,서울 영등포구 신길동                3203                
834,신풍역 개방화장실,3.0,서울 영등포구                신풍로 지하 27                 (우)07393
835,GS칼텍스 직영 신길점 개방화장실,,서울 영등포구                신길로 74                 (우)07436
836,영등포구민체육센터 개방화장실,,서울 영등포구                신풍로 1                 (우)07398
837,구로3동 동산빌라앞 개방화장실,,서울 구로구                디지털로27라길 39-11                 (우)08373
838,남구로역 개방화장실,,서울 구로구                도림로 9                 (우)08320
839,구로4동 경로당 개방화장실,,서울 구로구                구로동로8길 27                 (우)08319
840,영진주유소 개방화장실,,서울 구로구                구로동로 20                 (우)08385
841,상현상사 개방화장실,,서울 강남구                학동로 204                 (우)06104
842,학동역 개방화장실,,서울 강남구                학동로 지하 180                 (우)06112
843,헤리츠타워 개방화장실,,서울 강남구                논현로 662                 (우)06105
844,숭실대역 개방화장실,,서울 동작구                상도로 지하 378                 (우)07040
845,상도1동주민센터 개방화장실,,서울 동작구                상도로53길 9                 (우)06971
846,강남보건소별관 개방화장실,,서울 강남구                선릉로 668                 (우)06088
847,금하빌딩 개방화장실,5.0,서울 강남구                학동로 401                 (우)06069
848,강남구청역 개방화장실,,서울 강남구                학동로 지하 346                 (우)06099
849,중화역 개방화장실,,서울 중랑구                동일로 지하 797                 (우)02017
850,구립중화경로복지관 개방화장실,,서울 중랑구                동일로138길 28                 (우)02050
851,중화119안전센터 개방화장실,,서울 중랑구                동일로 783                 (우)02102
852,중화2동주민센터 개방화장실,,서울 중랑구                동일로129길 1                 (우)02103
853,대신빌딩 개방화장실,,서울 중랑구                동일로136길 20                 (우)02051
854,중화1동 공영주차장 개방화장실,,서울 중랑구                동일로136나길 14                 (우)02049
855,중화1동주민센터 개방화장실,,서울 중랑구                동일로134길 17                 (우)02088
856,뚝섬유원지역 개방화장실,,서울 광진구                능동로 10                 (우)05096
857,수현민물장어 개방화장실,,서울 광진구                능동로4길 33                 (우)05090
858,한강공원뚝섬13 개방화장실,,서울 광진구 자양동                97-5                
859,원조순대국감자탕 개방화장실,,서울 광진구                뚝섬로30길 47                 (우)05085
860,한강공원뚝섬10 개방화장실,,서울 광진구 자양동                112                
861,한강공원뚝섬11 개방화장실,,서울 광진구 자양동                112                
862,한강공원뚝섬12 개방화장실,,서울 광진구 자양동                112                
863,청담평생학습관 개방화장실,,서울 강남구                학동로67길 11                 (우)06066
864,청담역 개방화장실,,서울 강남구                학동로 지하 508                 (우)06084
865,강남구청 제3별관 개방화장실,5.0,서울 강남구                학동로 426                 (우)06090
866,강남구보훈회관 개방화장실,,서울 강남구                삼성로119길 14-2                 (우)06091
867,강남구청 본관동 개방화장실,,서울 강남구                학동로 426                 (우)06090
868,강남구청 차량지원실 개방화장실,,서울 강남구                학동로 426                 (우)06090
869,수락산역 개방화장실,,서울 노원구                동일로 지하 1662                 (우)01625
870,수락119안전센터 개방화장실,,서울 노원구                동일로 1694                 (우)01624
871,마들역 개방화장실,,서울 노원구                동일로 지하 1530-1                 (우)01674
872,달빛어린이공원 개방화장실,,서울 노원구                노원로 532                 (우)01676
873,중계역 개방화장실,,서울 노원구                동일로 지하 1308-1                 (우)01760
874,당현천변 주공4단지앞 개방화장실,,서울 노원구 상계동                759-1                
875,당현천근린공원 개방화장실,,서울 노원구 상계동                762-1                
876,가재울근린공원 개방화장실,,서울 노원구 중계동                515-4                
877,평안에너지 상계충전소 개방화장실,,서울 노원구                동일로210길 86                 (우)01758
878,하계장미 개방화장실,4.0,서울 노원구                섬밭로 196                 (우)01863
879,해바라기어린이공원 개방화장실,,서울 노원구 하계동                277                
880,개방화장실,,서울 노원구 공릉동                626-5                
881,한천가로공원 개방화장실,,서울 노원구 공릉동                406-1                
882,한신주유소 개방화장실,,서울 노원구                동일로 1089                 (우)01852
883,공릉역 개방화장실,,서울 노원구                동일로 지하 1074                 (우)01840
884,공릉1.3동 주민센타 개방화장실,,서울 노원구                동일로186길 3-24                 (우)01844
885,리베로 개방화장실,,서울 중랑구                망우로 307                 (우)02098
886,상봉역 개방화장실,,서울 중랑구 상봉동                197-2                
887,상봉역 개방화장실,,서울 중랑구                망우로 297                 (우)02098
888,동원시장 개방화장실,,서울 중랑구                면목로74길 45                 (우)02161
889,면목역 개방화장실,,서울 중랑구 면목동                282-6                
890,면목본동주민센터 개방화장실,,서울 중랑구                면목로 397                 (우)02219
891,면목3.8동주민센터 개방화장실,,서울 중랑구                사가정로51길 48                 (우)02221
892,까치어린이공원 개방화장실,,서울 중랑구                사가정로49길 56                 (우)02221
893,면목7동주민센터 개방화장실,,서울 중랑구                사가정로52길 13                 (우)02238
894,용마산역 개방화장실,,서울 중랑구                용마산로 지하 227                 (우)02254
895,용마폭포 개방화장실,3.0,서울 중랑구 면목동                산 1-4                
896,면목4동주민센터 개방화장실,,서울 중랑구                면목로 246                 (우)02254
897,중곡역 개방화장실,,서울 광진구                능동로 지하 417                 (우)04908
898,중곡문화체육센터 개방화장실,,서울 광진구                능동로 433                 (우)04904
899,광진광장주차장 개방화장실,,서울 광진구                광나루로 389                 (우)05006
900,화양동 주민센터 개방화장실,,서울 광진구                능동로17길 39                 (우)05010
901,어린이대공원역 개방화장실,,서울 광진구                능동로 지하 210                 (우)04991
902,묵1동주민센터 개방화장실,,서울 중랑구                공릉로2가길 5                 (우)02034
903,재원에너지 범아주유소 개방화장실,,서울 중랑구                동일로 881                 (우)02009
904,남성대주유소 개방화장실,,서울 송파구                송파대로 52                 (우)05844
905,장지역 개찰구 밖 개방화장실,,서울 송파구                송파대로 지하 82                 (우)05816
906,산모건강증진센터 개방화장실,,서울 송파구                충민로2길 20                 (우)05816
907,문정역 개방화장실,,서울 송파구                송파대로 지하 179                 (우)05854
908,송파역 개방화장실,,서울 송파구                송파대로 지하 354                 (우)05676
909,복정역 분당선 개방화장실,,서울 송파구                송파대로 지하 6                 (우)05844
910,완불주유소 개방화장실,,서울 송파구 장지동                608-5                
911,몽촌토성역 개찰구 밖 개방화장실,,서울 송파구                올림픽로 지하 383                 (우)05508
912,강동구청역 개방화장실,,서울 송파구                올림픽로 545                 (우)05530
913,성내지구대 개방화장실,,서울 강동구                성내로 25                 (우)05397
914,퍼스트오일 코알라주유소 개방화장실,,서울 강동구                올림픽로 556                 (우)05391
915,강동구청 본관 개방화장실,5.0,서울 강동구                성내로 25                 (우)05397
916,강동구청 서관 개방화장실,,서울 강동구                성내로 25                 (우)05397
917,성내1동주민센터 개방화장실,,서울 강동구                성내로 13                 (우)05392
918,태성프라자 개방화장실,,서울 강동구                올림픽로 787                 (우)05241
919,현대오일뱅크직영 암사셀프주유소 개방화장실,,서울 강동구 암사동                513-27                
920,암사종합시장 개방화장실,,서울 강동구                고덕로10길 62                 (우)05263
921,동양인텍스빌 개방화장실,,서울 강동구                상암로 41                 (우)05264
922,암사역 개방화장실,,서울 강동구                올림픽로 지하 776                 (우)05264
923,암사충전소 개방화장실,,서울 강동구                올림픽로 791                 (우)05241
924,암사2동주민센터 개방화장실,,서울 강동구                상암로3길 28                 (우)05241
925,석촌레이크빌 개방화장실,4.0,서울 송파구                송파대로 453                 (우)05609
926,잠실에너지 개방화장실,,서울 송파구 송파동                19-1                
927,청호빌딩 개방화장실,,서울 송파구                송파대로 441                 (우)05616
928,석촌역 개찰구 밖 개방화장실,,서울 송파구                백제고분로 지하 368                 (우)05626
929,반포본동주민센터 개방화장실,,서울 서초구                신반포로3길 8                 (우)06502
930,반포2동주민센터 개방화장실,,서울 서초구                신반포로15길 16                 (우)06504
931,반포그린주유소 개방화장실,,서울 서초구                서초중앙로 239                 (우)06593
932,반포1동주민센터 개방화장실,,서울 서초구                사평대로 273                 (우)06544
933,사평로주유소 개방화장실,5.0,서울 서초구                사평대로 350                 (우)06609
934,교보타워 개방화장실,,서울 서초구                강남대로 465                 (우)06611
935,신논현역 개방화장실,,서울 강남구                봉은사로 지하 102                 (우)06120
936,송산빌딩 개방화장실,,서울 강남구                봉은사로 210                 (우)06135
937,선정경로당 개방화장실,,서울 강남구                선릉로105길 5                 (우)06145
938,강남구치매지원센터 및 공영주차장 개방화장실,,서울 강남구                선릉로108길 27                 (우)06153
939,선정릉역 분당선 개방화장실,,서울 강남구                선릉로 지하 580                 (우)06153
940,삼보주유소 개방화장실,1.0,서울 강남구                봉은사로 433                 (우)06097
941,백영삼릉빌딩 개방화장실,,서울 강남구                봉은사로 413                 (우)06097
942,세홍 구 프라임빌딩 개방화장실,,서울 강남구 논현동                278-4                
943,삼성2문화센터 개방화장실,,서울 강남구                봉은사로 419                 (우)06097
944,광동한방병원 개방화장실,,서울 강남구                봉은사로 612                 (우)06170
945,삼성1문화센터 개방화장실,,서울 강남구 삼성동                161-2                
946,삼전셀프주유소 개방화장실,,서울 송파구                백제고분로 199                 (우)05606
947,파크인수빌딩 개방화장실,1.0,서울 송파구                백제고분로 187                 (우)05567
948,대성석유 석촌주유소 개방화장실,,서울 송파구                백제고분로 289                 (우)05613
949,SK정유 남성주유소 개방화장실,,서울 송파구                백제고분로 474                 (우)05631
950,백제고분로주유소 개방화장실,,서울 송파구                오금로 143                 (우)05549
951,올림픽공원-프라자A동 개방화장실,,서울 송파구                올림픽로 424                 (우)05540
952,올림픽공원-구립SOMA미술관 개방화장실,,서울 송파구                위례성대로 51                 (우)05540
953,쌍용플래티넘 개방화장실,,서울 강남구                봉은사로 474                 (우)06154
954,GS칼텍스삼성로점 개방화장실,,서울 강남구                삼성로 563                 (우)06154
955,효사정 개방화장실,,서울 동작구 흑석동                141-2                
956,반포한강공원7 개방화장실,,서울 동작구 흑석동                263                
957,원불교앞 개방화장실,,서울 동작구 흑석동                263                
958,흑석동주유소 개방화장실,5.0,서울 동작구                현충로 101                 (우)06904
959,서울흑석동우체국 개방화장실,,서울 동작구                서달로15길 13                 (우)06972
960,자매근린공원 개방화장실,,서울 영등포구 여의도동                56                
961,샛강역 9호선 개방화장실,,서울 영등포구                의사당대로 지하 166                 (우)07324
962,여의도 119안전센터 개방화장실,,서울 영등포구                의사당대로 162                 (우)07324
963,교육시설공제회관 구-인켈 개방화장실,,서울 영등포구                국회대로62길 25                 (우)07236
964,9호선국회의사당역 내부 개방화장실,,서울 영등포구                국회대로 지하 758                 (우)07236
965,GS칼텍스 국회대로주유소 개방화장실,,서울 영등포구                국회대로 746                 (우)07236
966,여의도공원 2호 개나리 개방화장실,,서울 영등포구 여의도동                2                
967,여의도공원 3호 개방화장실,,서울 영등포구 여의도동                2                
968,9호선국회의사당역 외부 개방화장실,,서울 영등포구                국회대로 지하 758                 (우)07236
969,"여의도공원 1호, 진달래 개방화장실",,서울 영등포구 여의도동                2                
970,양평2동공영 개방화장실,,서울 영등포구                양평로19길 12-1                 (우)07208
971,영등포제일교회 개방화장실,,서울 영등포구                양평로 154                 (우)07204
972,양평동 참병원 개방화장실,,서울 영등포구                양평로22사길 9                 (우)07203
973,선유도주유소 개방화장실,,서울 영등포구                양평로 141                 (우)07207
974,양평2동주민센터 개방화장실,,서울 영등포구                선유로47길 30                 (우)07208
975,선유도역 9호선 개방화장실,,서울 영등포구                양평로 지하 124                 (우)07205
976,신목동역 9호선 개방화장실,,서울 양천구                목동중앙로 지하 217                 (우)07969
977,건지주유소 개방화장실,,서울 양천구                안양천로 1171                 (우)07969
978,현대오일뱅크직영 양천현대셀프주유소 개방화장실,,서울 양천구 목동                123                
979,이수 개방화장실,,서울 강서구                공항대로75길 27                 (우)07558
980,염창동주유소 개방화장실,,서울 강서구                양천로 720                 (우)07556
981,꿈꾸는어린이도서관 개방화장실,,서울 강서구                공항대로 615                 (우)07558
982,평생학습관 개방화장실,,서울 강서구                공항대로 615                 (우)07558
983,염창역9호선 개방화장실,,서울 강서구                공항대로 지하 631                 (우)07558
984,현대오일뱅크직영 목동셀프주유소 개방화장실,,서울 양천구                공항대로 648                 (우)07968
985,현대오일뱅크 양화교주유소 개방화장실,,서울 강서구                공항대로 653                 (우)07557
986,교통정보센터 개방화장실,,서울 강서구                공항대로 501                 (우)07564
987,택민빌딩 개방화장실,,서울 양천구                공항대로 550                 (우)07946
988,백석 개방화장실,,서울 강서구                공항대로57길 31                 (우)07564
989,염창파출소 개방화장실,,서울 강서구                공항대로59다길 80                 (우)07561
990,등촌역 9호선 개방화장실,,서울 강서구                공항대로 지하 529                 (우)07563
991,강서소방서 등촌119안전센터 개방화장실,,서울 강서구                양천로 550                 (우)07550
992,비둘기 개방화장실,,서울 강서구                허준로 230                 (우)07532
993,코리나청룡주유소 개방화장실,,서울 강서구                양천로 576                 (우)07551
994,증미역 9호선 개방화장실,,서울 강서구                양천로 지하 560                 (우)07550
995,노블리움오피스텔 개방화장실,,서울 강서구                양천로 500                 (우)07548
996,가양5종합사회복지관 개방화장실,,서울 강서구                양천로57길 36                 (우)07526
997,KH에너지직영 가양주유소 개방화장실,,서울 강서구                강서로 498                 (우)07529
998,대성주유소 개방화장실,,서울 강서구                강서로 472                 (우)07573
999,대룡드림타워 개방화장실,,서울 강서구                강서로 462                 (우)07573
1000,우리벤처타운 개방화장실,,서울 강서구                강서로 466                 (우)07573
1001,마곡나루역 9호선 개방화장실,,서울 강서구 마곡동                367-6                
1002,일자산약수터 개방화장실,,서울 강동구                진황도로61길 53                 (우)05368
1003,일자산2체육관 개방화장실,,서울 강동구 둔촌동                산 125                
1004,한국맥도널드 송정역점 개방화장실,,서울 강서구                공항대로 21                 (우)07619
1005,방화주유소 개방화장실,,서울 강서구                방화동로 58-2                 (우)07616
1006,방화제2 개방화장실,,서울 강서구                개화동로29길 28-1                 (우)07620
1007,공항지구대 개방화장실,,서울 강서구                방화동로 5                 (우)07620
1008,송정역 개방화장실,,서울 강서구                공항대로 지하 33                 (우)07619
1009,방화제1 개방화장실,,서울 강서구 방화동                620-191                
1010,공항시장역 9호선 개방화장실,,서울 강서구                방화동로 지하 30                 (우)07619
1011,노들나루공원 개방화장실,,서울 동작구                노량진로 247                 (우)06902
1012,노들역 9호선 개방화장실,1.0,서울 동작구                노량진로 지하 238                 (우)06906
1013,신방화역 9호선 개방화장실,,서울 강서구                방화대로 지하 301                 (우)07605
